row_id,question,pole_1,pole_2,human_dimension,rule_applied,notes
r3_01,Do you believe that the leaders of the artistic (business) community should dictate what is considered quality in terms of art and entertainment?,"No, quality should be determined collectively by all members of the artistic community.","Yes, the leaders should set the standards for what is considered quality art.",,,
r3_02,Do you think that promotions within a professional situation should be based on seniority?,"No, promotions should be based on merit, skills, and performance, regardless of length of service.","Yes, seniority indicates experience, loyalty to the organization and knowledge about its operations.",,,
r3_03,"In an event where the authority at your workplace made a decision you didn't agree with, what would be your reaction?","I would respect and accept their decision, even if I didn't agree with it, as they hold the right to make the final decisions.","I would express my disagreement directly to them, as I believe my viewpoint should also be taken into consideration.",,,
r3_04,"How would you react if your boss implements a decision that you disagree with, but it has the support of the majority of your co-workers?","Support the decision aligning with the collective consensus, suppressing personal reservations.","Express their disagreement individually, even if it goes against the majority decision.",,,
r3_05,How should the flow of information in an organization be structured?,"There should be an open-flow, both top-down and bottom-up, where everyone is encouraged to contribute.","Primarily top-down, with leaders disseminating information to the employees.",,,
r3_06,What strategy would you adopt when establishing new relationships within your team?,"I would concentrate on quickly establishing efficiencies, managing tensions, and focusing on the tasks at hand.",I would invest in building long-term relationships by seeking to understand and respect the diversity within the team.,,,
r3_07,How do you perceive the management style at your workplace?,I like the centralized approach where managers direct all activities and take most of the decisions.,I prefer a decentralized approach where employees are involved in decision-making and there is two-way communication.,,,
r3_08,What’s more important in your career?,Achieving financial growth and professional prestige.,Finding meaning in my work and maintaining a comfortable work-life balance.,,,
r3_09,Would you relocate your family to a different city or possibly a different country for a better career opportunity that might benefit your family in the long run?,"No, I would not disturb my family’s current comfort and societal ties for potential benefits in the future.","Yes, I'm willing to relocate if it gives better career opportunities and long-term benefits for my family.",,,
r3_10,What do you believe is the best strategy for career development?,Pushing for personal achievements and distinct accomplishments.,Investing in personal relationships and developing a supportive network within the workplace.,,,
r3_11,"If your organization undertakes a major technological innovation project, what would you expect?","It is an investment towards the future, with ultimate benefits perhaps realized years down the line.","Immediate results in terms of increased productivity, efficiency and profitability.",,,
r3_12,How would you define success in your career?,Achieving high status and rank in my profession.,Being fulfilled and happy with my work-life balance.,,,
r3_13,Do you think that group rewards are a good way to promote teamwork?,"No, I think rewards should be based solely on individual performance. Group rewards might promote complacency.","Yes, group rewards encourage the team to work together and stimulate interpersonal bonding.",,,
r3_14,Imagine you have the power to decide your job role at your work. Which would be more important to you?,Choosing a role which I think will allow me to develop my skills and abilities best.,Choosing a role that is most beneficial to the ongoing success and harmony of the company.,,,
