row_id;question;pole_1;pole_2;guille;guille_rule;guille_notes;blanca;blanca_rule;blanca_notes;final_dimension;;;;;;;;;;rule_applied;adjudication_notes
r3_03;In an event where the authority at your workplace made a decision you didn't agree with, what would be your reaction?;I would respect and accept their decision, even if I didn't agree with it, as they hold the right to make the final decisions.;I would express my disagreement directly to them, as I believe my viewpoint should also be taken into consideration.;Deciding;direct;G3;Leading;G6;Deference to authority dominant;Leading;;;;;;;;;;;
r3_05;How should the flow of information in an organization be structured?;There should be an open-flow, both top-down and bottom-up, where everyone is encouraged to contribute.;Primarily top-down, with leaders disseminating information to the employees.;Deciding;direct;G3;Leading;direct;Hierarchical vs open communication flow across levels.;Leading;;;;;;;;;;;
r3_07;How do you perceive the management style at your workplace?;I like the centralized approach where managers direct all activities and take most of the decisions.;I prefer a decentralized approach where employees are involved in decision-making and there is two-way communication.;Deciding;direct;G3;Leading;G6;Centralised vs decentralised power dominant;Deciding;;;;;;;;;;;
r3_15;How should leadership be defined in a team setting?;Leadership should be centered on one person who takes charge and makes the critical decisions.;Leadership should be distributed among the team members, promoting shared responsibilities and decision-making.;Deciding;direct;G3;Leading;G6;Concentrated vs distributed leadership dominant;Deciding;;;;;;;;;;;
r3_38;How do you perceive the distribution of responsibilities within a team?;Responsibilities should be distributed based on the rank of team members with higher rank individuals bearing more.;Responsibilities should be equally distributed, encouraging equal participation from all team members, regardless of position.;Deciding;G3;;Leading;direct;Responsibility allocated by rank = power distance.;Leading;;;;;;;;;;;
r3_64;How would you handle a situation where your personal work ethics conflict with your team's decision?;Align with their team's decision to maintain harmony and collective progress.;Stick with their personal beliefs and continue to follow their own ethics.;Disagreeing;direct;;Unmapped;G1;Conformity to the group vs personal conviction = individualism/collectivism. Not Disagreeing: pole 2 is not open dissent.;Unmapped;;;;;;;;;;;
r3_32;How do you regard the role of a manager in teamwork?;I view a manager as someone who should make key decisions, giving clear instructions to members.;I see a manager as a facilitator, who encourages discourse and collective decision-making.;Leading;direct;;Deciding;G6;Manager decides vs collective decision-making dominant;Deciding;;;;;;;;;;;
r3_21;Is it acceptable for a junior team member to openly criticize the ideas or decisions of a leadership figure?;No, such criticisms should be conveyed through the appropriate leadership channels.;Yes, work environments should encourage freedom of expression and open dialogue between all team members, regardless of rank.;Leading;;Deciding;Disagreeing;G6;Open criticism of a superior dominant;Disagreeing;;;;;;;;;;;
r3_86;What's emphasized more in your workplace's leadership style?;The leadership emphasizes on consensus, shared responsibilities, and team harmony.;The leadership stresses on decisiveness, individual responsibility, and achievement-oriented objectives.;Leading;;Deciding;Unmapped;G1;Consensus pole tempts Deciding, but the contrast pole is individual responsibility/achievement, not top-down authority. Confounded.;Unmapped;;;;;;;;;;;
r3_88;How would you approach a project with a distant deadline at work?;I would plan ahead, organize tasks strategically, focusing on perfecting the end product even if it requires more time and effort.;I would prioritize tasks based on their urgency and address them one by one, prioritizing immediate progress over long-term perfection.;Scheduling;direct;;Unmapped;G1;G2, hardest call: BOTH poles are monochronic ('one by one', 'plan ahead'). The real contrast is long-term perfection vs immediate progress, so no Scheduling axis.;Scheduling;;;;;;;;;;;
