original_question,stem_only,with_options,changed
How would you handle a situation where your personal work ethics conflict with your team's decision?,Leading,Unmapped,YES
"When faced with a challenging task at work, what would be your preferred approach?",Unmapped,Unmapped,
What motivates you more in the context of career advancement?,Unmapped,Unmapped,
"Imagine you have received an extraordinary job opportunity in another city. Would you choose to move for this job opportunity, or stay where your family needs you?",Unmapped,Unmapped,
How do you prefer to be your job's appraisal?,Evaluating,Unmapped,YES
"In your view, to what extent should employers accommodate employees' family needs?",Unmapped,Unmapped,
"Regarding technical education/training/internships, do you believe that grading should be based on individual performance or group projects?",Deciding,Unmapped,YES
"When you think about career advancement, which of the following do you believe is more important?",Unmapped,Unmapped,
You have a task at hand that could be handled both individually and as a team. What is your choice?,Leading,Unmapped,YES
What would be your reaction to a task that goes beyond your defined job role but contributes greatly to the team's success?,Leading,Unmapped,YES
"How would you react if a technological innovation could save you time on daily tasks, but might increase the digital divide within your community?",Unmapped,Unmapped,
"In your lunch break, do you prefer to eat your meals alone, or in the company of your collegues?",Trusting,Unmapped,YES
"When working on a project, what is your preferred method of operation?",Unmapped,Unmapped,
"If a task at your workplace conflicts with your personal growth but benefits the team, what will be your priority?",Leading,Unmapped,YES
"If a new device makes your job easier but potentially eliminates jobs for others, would you use it?",Unmapped,Unmapped,
"In the context of technological innovation, should technical education encourage juniors and interns to work on personal projects or group trasks?",Leading,Unmapped,YES
"If a family member required continuous care, would you quit your job to care for the family member or ask other family members to help in the process?",Unmapped,Unmapped,
"If faced with a significant career decision, who would primarily influence your choice?",Trusting,Unmapped,YES
How should conflicts be resolved in the workplace?,Disagreeing,Disagreeing,
Why do you use technology in the workplace?,Unmapped,Unmapped,
"In terms of adopting technology in business, which is more important?",Unmapped,Unmapped,
What brings you more job satisfaction?,Unmapped,Unmapped,
What kind of behavior do you appreciate the most from your leader?,Leading,Leading,
How do you define career achievement?,Unmapped,Unmapped,
"What is more important, pursuing personal career ambitions or maintaining a balanced family life?",Unmapped,Unmapped,
How should leadership be defined in a team setting?,Leading,Leading,
"When funding art projects in ….. , which is more supported individual artists or community art initiatives?",Unmapped,Unmapped,
Which one would you prefer in your professional life?,Unmapped,Unmapped,
"In a team setting, do you believe emphasis should be placed on individual achievement or team effort?",Unmapped,Unmapped,
What should be the primary focus when making professional decisions?,Unmapped,Unmapped,
How would you react if offered a promotion that would require more time away from home?,Unmapped,Unmapped,
How would you tackle a scenario where your innovative idea clashes with the traditional practices of your company?,Disagreeing,Unmapped,YES
Do you feel guilty if your job demands interfere with your family responsibilities?,Unmapped,Unmapped,
Which option best describes the type of relationship you prefer with your employer?,Trusting,Unmapped,YES
How do you perceive your role within a team?,Leading,Unmapped,YES
What is an ideal working relationship between team members and their leader?,Leading,Leading,
How should the company manage the risks associated with adopting new technologies?,Unmapped,Unmapped,
"In the context of training or internship projects, which approach do you prefer?",Persuading,Unmapped,YES
"When implementing a new technology in business, whose perspective is vital?",Unmapped,Leading,YES
"When a problem arises in a team setting, how would you prefer it to be solved?",Deciding,Unmapped,YES
"When in a team meeting, which concept do you think is more beneficial for decision making?",Deciding,Deciding,
"Would you prefer to choose your own health insurance plan, or have the choice made collectively by your workplace or community?",Deciding,Unmapped,YES
What do you believe determines a successful career?,Unmapped,Unmapped,
Imagine you have the power to decide your job role at your work. Which would be more important to you?,Unmapped,Unmapped,
"When considering new job opportunities, how important is the impact on your family life?",Unmapped,Unmapped,
What should be the primary aim when implementing new technology in business?,Unmapped,Unmapped,
How would you prefer new technological updates or upgrades to be delivered in a business environment?,Unmapped,Unmapped,
How would you approach career goals?,Unmapped,Unmapped,
"How would you approach the situation if your employer asked you to work overtime often, potentially affecting your quality time with family?",Unmapped,Unmapped,
"If a family business is in trouble, would you prefer to solve it yourself or involve the whole family in finding a solution?",Deciding,Unmapped,YES
What is the optimal approach to handle technological changes in your company?,Unmapped,Unmapped,
You are given a project at work to manage. How would your ideal team function?,Leading,Unmapped,YES
Would you decline an attractive job offer if it meant damaging your work-life balance?,Unmapped,Unmapped,
"In the event of a family crisis, would you consider quitting your job to fully attend to it?",Unmapped,Unmapped,
To what degree do you agree with the belief that your career should take precedence over family demands?,Unmapped,Unmapped,
"In choosing a new job, what would matter most to you?",Unmapped,Unmapped,
Which aspect is more important for you in a leader’s communication style?,Communicating,Communicating,
Which situation would make you feel more satisfied in your job?,Unmapped,Deciding,YES
Should juniors or interns be encouraged more to pursue independent projects in training/learning tasks or to engage in group projects that require senior input?,Leading,Unmapped,YES
How do you view responsibility within a professional setting?,Unmapped,Unmapped,
How do you feel about the idea of changing jobs or shifting careers frequently?,Unmapped,Unmapped,
Would you prioritize your professional ambitions over family time?,Unmapped,Unmapped,
How would you prefer leadership roles to be chosen within a working environment?,Leading,Leading,
What is your opinion on competition within a professional setting?,Unmapped,Unmapped,
Do you believe that the KPIs should prioritize individual success or collaborative projects?,Deciding,Unmapped,YES
"If you observe a colleague violating a company rule, what would be your preferred course of action?",Disagreeing,Disagreeing,
What is the main goal when a company develops a new technology?,Unmapped,Unmapped,
Do you agree more with the approach of creating individual projects in technical training or working on shared projects that benefit the group?,Deciding,Unmapped,YES
"During technical board presentations, would you rather deliver your findings alone or present as a team?",Leading,Unmapped,YES
How would you describe your preferred leadership feedback style?,Evaluating,Unmapped,YES
"When a technological error occurs, what approach do you believe is more beneficial for the organization?",Unmapped,Unmapped,
What kind of reward system do you prefer in your job?,Unmapped,Unmapped,
"In the subject of technical training or internships, would you prefer program to focus on the development of personal competencies or team-based skills?",Unmapped,Unmapped,
Which style of leadership would result in the best team performance?,Leading,Leading,
"Is it more valuable for a new employee to be an individual who stands out, or a team player who blends in?",Unmapped,Unmapped,
"In your career, what is more important to you?",Unmapped,Unmapped,
What is more crucial to your job satisfaction?,Unmapped,Unmapped,
What would be the main driver behind your participation in a technological innovation project?,Unmapped,Unmapped,
"Scoring a great job opportunity abroad or taking care of your aging parents at home, which one is your prioritized choice?",Unmapped,Unmapped,
"In a leadership role, how would you address the advancement of your team?",Leading,Leading,
"How would you react if your boss implements a decision that you disagree with, but it has the support of the majority of your co-workers?",Deciding,Disagreeing,YES
What kind of leadership style do you think is more effective in a work environment?,Leading,Leading,
How do you view competition with peers in your workplace?,Unmapped,Unmapped,
How do you interpret teamwork?,Unmapped,Trusting,YES
"Should a company promote and facilitate social interactions among employees via technology (E.g. social media platforms, team-building software) or prioritize task efficiency?",Trusting,Trusting,
What are your thoughts on informal meetings or team huddles during work hours?,Scheduling,Scheduling,
Do you think that group rewards are a good way to promote teamwork?,Unmapped,Unmapped,
What is your stance on maintaining work-life balance as a leader?,Unmapped,Unmapped,
How do you perceive the use of intelligent machines in workplaces?,Unmapped,Unmapped,
How do you perceive the role of paid leave in career advancement and productivity?,Unmapped,Unmapped,
What is your view on adopting new technologies in order to enhance employee enjoyment in their work-life balance?,Unmapped,Unmapped,
"When given a choice between working overtime to complete a project and leaving work earlier to attend a family event, which option would align more with your cultural values?",Unmapped,Unmapped,
How do you view the integration of technology-enhanced recreational activities in the workplace for employee wellbeing?,Unmapped,Unmapped,
Do you prefer to engage in learning new things outside their professional or academic interest just for fun or enjoyment?,Unmapped,Unmapped,
How do you typically celebrate successful team projects at work?,Unmapped,Unmapped,
What impact does your job have on your overall happiness?,Unmapped,Unmapped,
"What is your stance on implementing advanced technology in creating leisurely spaces in workplaces such as gaming zones, relaxation apps, etc.?",Unmapped,Unmapped,
How would you balance a choice between a career progression opportunity and personal leisure time or family responsibilities?,Unmapped,Unmapped,
How do you respond to a relaxed atmosphere within the team?,Leading,Unmapped,YES
How do you perceive the initiative to implement automation technology in workplaces?,Unmapped,Unmapped,
"Should companies invest in creating informal, tech-enabled communities (like gaming communities or online interest-based groups) within the company to increase employee engagement?",Unmapped,Unmapped,
What place should individual learning projects have in the internship or training programs?,Unmapped,Unmapped,
Do you view strict work-life boundaries as essential in maintaining professional ethics?,Unmapped,Unmapped,
How do you perceive the idea of incorporating fun activities in the workplace?,Unmapped,Unmapped,
How do you perceive the balance between group activities and individual tasks in your technical education?,Deciding,Unmapped,YES
What do you believe is an important consideration for an employer promoting an employee?,Leading,Unmapped,YES
How do you feel about incorporating team-building exercises into the work schedule?,Trusting,Unmapped,YES
