row_id;question;pole_1;pole_2;model_dimension;rule_applied;notes
r3_01;Do you believe that the leaders of the artistic (business) community should dictate what is considered quality in terms of art and entertainment?;No, quality should be determined collectively by all members of the artistic community.;Yes, the leaders should set the standards for what is considered quality art.;Leading;direct;Legitimacy of elite status to set standards = power distance. Collective pole is egalitarian, not a consensus mechanism.
r3_02;Do you think that promotions within a professional situation should be based on seniority?;No, promotions should be based on merit, skills, and performance, regardless of length of service.;Yes, seniority indicates experience, loyalty to the organization and knowledge about its operations.;Unmapped;G1;Seniority vs merit = performance orientation.
r3_03;In an event where the authority at your workplace made a decision you didn't agree with, what would be your reaction?;I would respect and accept their decision, even if I didn't agree with it, as they hold the right to make the final decisions.;I would express my disagreement directly to them, as I believe my viewpoint should also be taken into consideration.;Leading;G6;Deference to authority dominant
r3_04;How would you react if your boss implements a decision that you disagree with, but it has the support of the majority of your co-workers?;Support the decision aligning with the collective consensus, suppressing personal reservations.;Express their disagreement individually, even if it goes against the majority decision.;Disagreeing;direct;Voice dissent vs suppress it to preserve group harmony.
r3_05;How should the flow of information in an organization be structured?;There should be an open-flow, both top-down and bottom-up, where everyone is encouraged to contribute.;Primarily top-down, with leaders disseminating information to the employees.;Leading;direct;Hierarchical vs open communication flow across levels.
r3_06;What strategy would you adopt when establishing new relationships within your team?;I would concentrate on quickly establishing efficiencies, managing tensions, and focusing on the tasks at hand.;I would invest in building long-term relationships by seeking to understand and respect the diversity within the team.;Trusting;direct;Task-based vs relationship-based team relations.
r3_07;How do you perceive the management style at your workplace?;I like the centralized approach where managers direct all activities and take most of the decisions.;I prefer a decentralized approach where employees are involved in decision-making and there is two-way communication.;Leading;G6;Centralised vs decentralised power dominant
r3_08;What’s more important in your career?;Achieving financial growth and professional prestige.;Finding meaning in my work and maintaining a comfortable work-life balance.;Unmapped;G1;Work-life balance / performance orientation.
r3_09;Would you relocate your family to a different city or possibly a different country for a better career opportunity that might benefit your family in the long run?;No, I would not disturb my family’s current comfort and societal ties for potential benefits in the future.;Yes, I'm willing to relocate if it gives better career opportunities and long-term benefits for my family.;Unmapped;G1;Long-term orientation + family vs career.
r3_10;What do you believe is the best strategy for career development?;Pushing for personal achievements and distinct accomplishments.;Investing in personal relationships and developing a supportive network within the workplace.;Unmapped;G1;Individual achievement vs networking = individualism / performance orientation. Not Trusting: not about where trust comes from.
r3_11;If your organization undertakes a major technological innovation project, what would you expect?;It is an investment towards the future, with ultimate benefits perhaps realized years down the line.;Immediate results in terms of increased productivity, efficiency and profitability.;Unmapped;G1;Long-term vs short-term orientation. G2: not Scheduling.
r3_12;How would you define success in your career?;Achieving high status and rank in my profession.;Being fulfilled and happy with my work-life balance.;Unmapped;G1;Work-life balance / performance orientation.
r3_13;Do you think that group rewards are a good way to promote teamwork?;No, I think rewards should be based solely on individual performance. Group rewards might promote complacency.;Yes, group rewards encourage the team to work together and stimulate interpersonal bonding.;Unmapped;G1;Individualism vs collectivism + reward allocation.
r3_14;Imagine you have the power to decide your job role at your work. Which would be more important to you?;Choosing a role which I think will allow me to develop my skills and abilities best.;Choosing a role that is most beneficial to the ongoing success and harmony of the company.;Unmapped;G1;Personal goals vs group goals. G3.
r3_15;How should leadership be defined in a team setting?;Leadership should be centered on one person who takes charge and makes the critical decisions.;Leadership should be distributed among the team members, promoting shared responsibilities and decision-making.;Leading;G6;Concentrated vs distributed leadership dominant
r3_16;How much importance do you place on planning for your career advancement in the coming years?;I prefer focusing on the present, making the most out of current roles while maintaining a good work-life balance.;I always have a robust career plan for the future and am willing to make sacrifices today for a better tomorrow.;Unmapped;G1;Long-term orientation. G2: 'planning' here is career horizon, not Scheduling.
r3_17;Should companies provide employees with technologies that allow personal customization (E.g. choice of software tools, hardware), even if it may slightly impact conformity and uniformity?;Yes, it allows individuals to work in their comfort zone, which can lead to an increase in productivity and job satisfaction.;No, maintaining uniform standards in technology is vital for sustaining a structured and consistent work process across the organization.;Unmapped;G1;Uncertainty avoidance / attitude to technology.
r3_18;Would you decline an attractive job offer if it meant damaging your work-life balance?;Yes, if it were detrimental to family time, I would rather decline it to preserve harmony at home.;No, if it were beneficial to my personal career growth, I would accept it.;Unmapped;G1;Work-life balance.
r3_19;What would be the main driver behind your participation in a technological innovation project?;The potential of personal success and growth.;The possibility to create a positive impact on my society, or my team at work.;Unmapped;G1;Personal success vs collective benefit = individualism/collectivism.
r3_20;When evaluating interns or trainees, should emphasis be placed on individual task completion or collective problem-solving?;Emphasis should be placed on individual task completion, promoting personal accountability and self-reliance.;Emphasis should be placed on collective problem-solving, encouraging empathy and interdependence.;Unmapped;G1;Individual vs collective work (G3). G5: 'evaluating' here is performance measurement, not negative feedback.
r3_21;Is it acceptable for a junior team member to openly criticize the ideas or decisions of a leadership figure?;No, such criticisms should be conveyed through the appropriate leadership channels.;Yes, work environments should encourage freedom of expression and open dialogue between all team members, regardless of rank.;Disagreeing;G6;Open criticism of a superior dominant
